grdc_no,wmo_reg,sub_reg,mix_reg,nat_id,river,station,country_code,lat,long,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,proc_tyrs,proc_tmon,f_import,f_im_yr,l_import,l_im_yr,provider_id,acsys,flux2ocean,gems,gcos_gtn-h,statistics,Pristine Basins,GRDC Reference Dataset,AdaptAlp,ArctHycos
3651865,3,51,351,,RIACHO DO NAVIO,MATRIZ,BR,-8.250,-38.020,    468.  ,-999,3651870,0,1970,1977,8,0.00,1970,1977,8,0.00,1970,1977,8,       .33,       .01,22, 75. ,100. ,21.8.1992,1992,4.6.1996,1996,-999,0,0,0,0,0,0,0,0,0
3651870,3,51,351,48880000,RIACHO DO NAVIO,ILHA GRANDE,BR,-8.528,-38.166,   2260.  ,385,3651900,0,1964,2008,45,1.07,1964,1993,30,3.89,1964,2008,45,      2.8 ,       .09,39, 97.8, 99.6,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3651900,3,51,351,49660001,SAO FRANCISCO,TRAIPU,BR,-9.983,-36.983, 622520.  ,40,0,0,,,,,1938,1999,62,8.14,1938,1999,62,   2835.15,     89.41,144, 90.3,100. ,18.2.1992,1992,24.3.2004,2004,21,0,1,0,1,1,0,0,0,0
3652010,3,52,352,50080000,RIO SERGIPE,SANTA ROSA DE LIMA,BR,-10.664,-37.190,   1960.  ,15,0,0,1972,2010,39,4.51,1972,1979,8,32.29,1972,2010,39,      4.18,       .13,67, 92.3, 98.8,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652020,3,52,352,50120001,RIO VAZA-BARRIS,CANUDOS,BR,-9.900,-39.133,   3455.  ,-999,3652050,0,1942,1962,21,46.48,1942,1962,21,46.47,1942,1962,21,      3.85,       .12,35, 42.9, 99.1,21.8.1992,1992,4.6.1996,1996,-999,0,0,0,0,1,0,0,0,0
3652030,3,52,352,50465000,RIO ITAPICURU,QUEIMADAS,BR,-10.973,-39.633,  11825.  ,265,3652039,0,1934,2010,77,4.06,1934,1984,51,8.75,1934,2010,77,     17.3 ,       .55,46, 92.2, 97.8,21.8.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652039,3,52,352,50595000,RIO ITAPICURU,USINA ALTAMIRA,BR,-11.735,-37.803,  35150.  ,17,0,0,1964,2010,47,11.27,1964,1979,16,11.54,1964,2010,47,     29.1 ,       .92,26, 83. , 98.3,15.10.1996,1996,24.1.2011,2011,58,0,1,0,1,1,0,1,0,0
3652040,3,52,352,50419000,RIO ITAPICURU-MIRIM,JACOBINA,BR,-11.206,-40.432,   1310.  ,-999,3652030,0,1968,1975,8,17.40,1968,1975,8,17.58,1968,1975,8,      3.39,       .11,82, 62.5, 98.3,21.8.1992,1992,4.6.1996,1996,-999,0,0,0,0,0,0,0,0,0
3652050,3,52,352,50191000,RIO VAZA-BARRIS,FAZENDA BELEM,BR,-10.943,-37.347,  15740.  ,19,0,0,1971,2010,40,0.46,1971,1985,15,2.30,1971,2010,40,     10.71,       .34,21, 97.5, 99.6,15.10.1996,1996,24.1.2011,2011,58,0,0,0,1,1,0,0,0,0
3652060,3,52,352,51440000,RIO JACUIPE,RIACHO DO JACUIPE,BR,-11.807,-39.386,   6795.  ,206,3652068,0,1965,2010,46,4.90,1965,1975,11,2.34,1965,2010,46,      3.61,       .11,17, 89.1, 97.2,21.8.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652065,3,52,352,51410000,RIO JACUIPE,FRANCA,BR,-11.553,-40.595,   1895.  ,504,3652060,0,1965,2003,39,6.94,1965,1981,17,1.56,1965,2003,39,      5.96,       .19,99, 87.2, 97.5,15.10.1996,1996,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652068,3,52,352,51460000,RIO JACUIPE,PONTE RIO BRANCO,BR,-12.233,-39.046,  10560.  ,119,3652135,0,1929,2010,82,2.83,1929,1979,51,6.69,1929,2010,82,      8.81,       .28,26, 96.3, 98.5,15.10.1996,1996,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652080,3,52,352,50755000,RIO POJUCA,PONTE DA BA-6,BR,-12.421,-38.322,   3300.  ,52,3652089,0,1965,2010,46,2.57,1965,1984,20,5.60,1965,2010,46,     11.01,       .35,105, 93.5, 98.4,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652089,3,52,352,50795000,RIO POJUCA,TIRIRICA,BR,-12.512,-38.067,   4860.  ,22,0,0,1961,2010,50,1.09,1961,1984,24,6.16,1961,2010,50,     29.27,       .92,190, 98. , 99. ,15.10.1996,1996,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652110,3,52,352,51190000,RIO SANTO ANTONIO,FERTEM,BR,-12.757,-41.329,   9282.  ,320,3652130,0,1947,2010,64,5.19,1947,1993,47,8.88,1947,2010,64,     32.42,      1.02,110, 92.2, 99.3,19.8.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652115,3,52,352,51120000,RIO PARAGUACU,ANDARAI,BR,-12.841,-41.322,   2517.  ,328,3652130,0,1940,2010,71,3.90,1940,1979,40,1.89,1940,2010,71,     21.89,       .69,274, 90.1, 99.3,21.8.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652120,3,52,352,51230000,RIO UNA (TRIB. RIO PARAGUACU),FAZENDA IGUACU,BR,-12.936,-41.064,   1420.  ,300,3652130,0,1941,2010,70,2.59,1940,1978,39,32.69,1940,2010,71,     25.45,       .8 ,565, 94.4, 98.9,21.8.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652130,3,52,352,51330000,RIO PARAGUACU,FAZENDA SANTA FE,BR,-12.516,-39.848,  31488.  ,173,3652135,0,1966,2010,45,0.17,1966,1979,14,0.00,1966,2010,45,     70.78,      2.23,71, 97.8, 99.8,21.8.1992,1992,24.1.2011,2011,58,0,1,0,0,1,0,1,0,0
3652135,3,52,352,51490000,RIO PARAGUACU,PEDRA DO CAVALO,BR,-12.600,-38.983,  53866.  ,50,0,0,1964,1978,15,1.37,1964,1978,15,6.67,1964,1978,15,    122.32,      3.86,72,100. , 98.9,24.3.2004,2004,24.1.2011,2011,58,0,0,1,1,1,0,0,0,0
3652200,3,52,352,52090000,RIO DE CONTAS,CRISTALANDIA,BR,-14.015,-41.445,   3248.  ,353,3652220,0,1969,2010,42,4.53,1969,1977,9,3.88,1969,2010,42,      9.25,       .29,90, 88.1, 98.9,21.8.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652210,3,52,352,52370000,RIO GAVIAO,ANAGE,BR,-14.613,-41.138,   6980.  ,358,3652220,0,1968,2010,43,9.01,1968,1980,13,58.33,1968,2010,43,      8.03,       .25,36, 81.4, 95.7,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652220,3,52,352,52410000,RIO DE CONTAS,JEQUIE,BR,-13.867,-40.083,  42245.  ,259,0,0,1934,1977,44,1.88,1934,1977,44,1.91,1934,1977,44,     30.58,       .96,23, 93.2, 99.6,21.8.1992,1992,4.6.1996,1996,-999,0,1,0,1,1,0,1,0,0
