grdc_no,wmo_reg,sub_reg,mix_reg,nat_id,river,station,country_code,lat,long,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,proc_tyrs,proc_tmon,f_import,f_im_yr,l_import,l_im_yr,provider_id,acsys,flux2ocean,gems,gcos_gtn-h,statistics,Pristine Basins,GRDC Reference Dataset,AdaptAlp,ArctHycos
1201100,1,1,101,,MEJERDA,GHARDIMAOU,TN,36.270,8.430,   1480.  ,192,1201500,0,,,,,1976,1979,4,0.00,1976,1979,4,      3.02,       .1 ,64,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1201150,1,1,101,,MELLEGUE,K13,TN,36.120,8.500,   9000.  ,327,1201500,0,,,,,1976,1979,4,0.00,1976,1979,4,      4.67,       .15,16,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1201500,1,1,101,,MEJERDA,SLOUGHIA,TN,36.580,9.520,  20895.  ,67,0,0,,,,,1976,1979,4,0.00,1976,1979,4,     18.29,       .58,28,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1304100,1,4,104,169/2,EMSA,EMSA,MA,35.520,-5.300,    110.  ,5,0,0,1971,1988,18,0.00,1971,1988,18,0.00,1971,1988,18,       .69,       .02,198, 88.9,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1104150,1,4,104,,CHELIF,SIDI BELATAR,DZ,36.020,0.270,  43750.  ,2,0,0,1978,2001,24,58.35,1976,1977,2,0.00,1976,2001,26,     17.42,       .55,13, 38.5, 99.2,18.2.1992,1992,9.8.2005,2005,-999,0,1,0,1,1,0,1,0,0
1104200,1,4,104,,MINA,OUED EL-ABTAL,DZ,35.500,0.680,   6635.  ,205,1104150,0,,,,,1976,1978,3,0.00,1976,1978,3,      2.58,       .08,12, 66.7,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
1104300,1,4,104,,RHIOU,AMMI MOUSSA,DZ,35.870,1.120,   2398.  ,140,1104150,0,,,,,1976,1979,4,0.00,1976,1979,4,      3.23,       .1 ,42,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
1104450,1,4,104,,MAZAFRAN,FER A CHEVAL,DZ,36.670,2.820,   1912.  ,10,0,0,1979,1995,17,0.03,1976,1978,3,0.00,1976,1995,20,      3.72,       .12,61, 90. ,100. ,18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,0,0,0,0,0
1104480,1,4,104,,BOUDOUAOU,KEDDARA,DZ,36.650,3.420,    829.  ,60,1104500,0,,,,,1976,1979,4,0.00,1976,1979,4,       .36,       .01,14, 75. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
1104500,1,4,104,,ISSER,LAKHDARIA,DZ,36.620,3.580,   4149.  ,90,0,0,,,,,1976,1979,4,0.00,1976,1979,4,      6.47,       .2 ,49, 75. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
1104530,1,4,104,,SEBAOU,BAGHLIA,DZ,36.800,3.870,   2501.  ,20,0,0,,,,,1976,1979,4,0.00,1976,1979,4,     17.79,       .56,224,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,1,0,0,0,0,0
1104600,1,4,104,,BOUSELAM,SIDI YAHIA,DZ,36.420,4.600,   4309.  ,220,0,0,1988,1997,10,0.00,1976,1978,3,0.00,1976,1997,22,      4.69,       .15,34, 50. , 98.5,18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,1,0,0,0,0
1104700,1,4,104,,RHUMEL,OUED ATHMANIA,DZ,36.230,6.300,   1220.  ,710,0,0,,,,,1976,1978,3,0.00,1976,1978,3,       .08,       .  ,2, 66.7,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
1104800,1,4,104,,MELAH,BOUCHEGOUF,DZ,36.450,7.720,    552.  ,95,0,0,1978,2003,26,8.02,1976,1977,2,0.00,1976,2003,28,      2.88,       .09,165, 78.6,100. ,18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,0,0,0,0,0
1304800,1,4,104,1447/6,KERT,DAR DRIOUCH,MA,34.900,-3.290,   1353.  ,273,0,0,1969,1987,19,0.92,1969,1987,19,0.46,1969,1987,19,       .67,       .02,16, 89.5,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1204900,1,4,104,,JOUMINE,DJEBEL ANTRA,TN,36.950,9.470,    235.  ,130,0,0,,,,,1976,1979,4,0.00,1976,1979,4,      1.63,       .05,218,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1107700,1,7,107,,TAFNA,PIERRE DU CHAT,DZ,35.150,-1.450,   7245.  ,60,0,0,1979,2001,23,1.85,1976,1979,4,16.67,1976,2001,26,      2.84,       .09,12, 88.5, 99.3,18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,1,0,0,0,0
1107800,1,7,107,,ISSER (TRIB. TAFNA),BENSEKRANE,DZ,35.070,-1.220,   1118.  ,287,1107800,0,1979,1999,21,0.04,1976,1978,3,0.00,1976,1999,24,       .69,       .02,20, 91.7,100. ,18.2.1992,1992,9.8.2005,2005,-999,0,0,1,0,0,0,0,0,0
1308100,1,8,108,318/30,MOULOUYA,ZEIDA,MA,32.970,-4.900,   1673.  ,1450,1308600,0,1976,1988,13,0.00,1976,1988,13,0.00,1976,1988,13,      1.72,       .05,32, 84.6,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1308110,1,8,108,658/38,ANSGEMIR,ANSEGMIR,MA,32.750,-4.900,    960.  ,450,1308100,0,1959,1988,30,0.02,1959,1988,30,0.00,1959,1988,30,      2.49,       .08,82, 96.7, 99.7,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1308600,1,8,108,,MOULOUYA,DAR EL CAID,MA,34.240,-3.320,  24422.  ,325,0,0,,,,,1957,1988,32,1.31,1957,1988,32,     20.28,       .64,26, 96.9, 99.2,28.2.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,1,0,0
1309200,1,9,109,510/48,NFIS,NKOURIS,MA,31.080,-8.100,    848.  ,1100,0,0,1976,1988,13,0.89,1976,1988,13,0.69,1976,1988,13,      2.49,       .08,93, 84.6, 99.2,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1309500,1,9,109,,BOUREGREG,LALLA CHAFIA,MA,33.700,-6.540,   3230.  ,180,0,0,,,,,1980,1984,5,0.00,1980,1984,5,      2.17,       .07,21, 80. ,100. ,28.2.1992,1992,28.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1309520,1,9,109,548/29,GROU,OULJET HABOUB,MA,33.210,-6.230,   1627.  ,548,0,0,1976,1988,13,0.00,1976,1988,13,0.00,1976,1988,13,      3.83,       .12,74, 84.6,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1309550,1,9,109,,EL ABID,AIT OUCHENE,MA,32.250,-6.080,   2350.  ,1070,0,0,,,,,1980,1984,5,0.00,1980,1984,5,      3.04,       .1 ,41, 80. ,100. ,28.2.1992,1992,28.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1309560,1,9,109,2605/37,OUIRINE,TIZI N'ISLY,MA,32.440,-5.630,-    999.  ,-999,1309600,0,1976,1988,13,8.33,1976,1988,13,8.33,1976,1988,13,      3.32,       .11,-999, 69.2,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1309570,1,9,109,87/88,AGUENNOUR,TSALAT,MA,33.330,-6.030,    690.  ,650,1309500,0,1977,1988,12,0.61,1977,1988,12,0.74,1977,1988,12,      1.44,       .05,66, 91.7, 98.5,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1309600,1,9,109,,OUM ER RBIA,DECHRA EL OUED,MA,32.680,-5.900,   3330.  ,591,0,0,,,,,1953,1989,37,0.94,1953,1989,37,     31.38,       .99,297, 91.9,100. ,28.2.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,0,0,0
1309620,1,9,109,1376/29,OUM ER RBIA,TARHAT,MA,33.000,-5.670,   1036.  ,866,1309600,0,1975,1987,13,0.00,1975,1987,13,0.00,1975,1987,13,     16.69,       .53,508, 92.3,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,1,0,0,0
1309650,1,9,109,630/1,KHOBZ,KANNOUA,MA,35.520,-5.840,    220.  ,6,0,0,1971,1988,18,0.32,1971,1988,18,0.49,1971,1988,18,      1.55,       .05,222, 88.9,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1309660,1,9,109,476/1,TAIFINE,KALAYA,MA,35.610,-5.730,     40.  ,30,0,0,1976,1987,12,0.00,1976,1987,12,0.00,1976,1987,12,       .63,       .02,495, 83.3,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1309675,1,9,109,612/4,LOUKKOS,MDOUAR,MA,35.000,-5.500,    667.  ,84,0,0,1969,1988,20,0.00,1969,1988,20,0.00,1969,1988,20,     15.36,       .49,726, 90. ,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1309700,1,9,109,,SEBOU,AZIB SOLTANE,MA,34.280,-5.430,  17250.  ,70,0,0,,,,,1959,1989,31,0.00,1959,1989,31,     56.95,      1.8 ,104, 93.5,100. ,28.2.1992,1992,28.2.1992,1992,-999,0,0,1,0,1,0,1,0,0
1309720,1,9,109,609/9,OUERGHA,M'JARA,MA,34.590,-5.250,   6190.  ,85,0,0,1976,1990,15,0.16,1951,1990,40,1.08,1951,1990,40,     87.82,      2.77,447, 95. ,100. ,25.2.1992,1992,28.2.1992,1992,-999,0,0,1,0,1,0,0,0,0
1309750,1,9,109,,OUERGHA,OURTZAGH,MA,34.620,-5.010,   4404.  ,140,1309720,0,,,,,1951,1989,39,0.22,1951,1989,39,     60.58,      1.91,434, 94.9, 99.8,28.2.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,0,0,0
1309800,1,9,109,,SEBOU,AIN TIMEDRINE,MA,33.750,-4.530,   4392.  ,645,1309700,0,,,,,1965,1984,20,0.00,1965,1984,20,     18.36,       .58,132, 95. ,100. ,28.2.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,0,0,0
1309810,1,9,109,582/22,MDEZ,PONT DU MDEZ,MA,33.670,-4.500,   3435.  ,725,1309800,0,1956,1990,35,0.65,1956,1990,35,0.50,1956,1990,35,      6.29,       .2 ,58, 94.3, 99.5,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,1,0,0,0,0
1309850,1,9,109,260/9,OUERGHA,BAB OUENDER,MA,34.600,-4.550,   1758.  ,540,1309750,0,1952,1990,39,1.04,1952,1990,39,0.88,1952,1990,39,     18.19,       .57,326, 97.4, 99.1,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1310400,1,10,110,509/55,DADES,AIT MOUTADE,MA,31.410,-5.470,   1550.  ,1545,0,0,1970,1987,18,0.00,1970,1987,18,0.00,1970,1987,18,      2.39,       .08,49, 88.9,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1310500,1,10,110,1508/38,ZIA,FOUM TILLICH,MA,32.230,-4.520,   1240.  ,1400,0,0,1974,1989,16,0.00,1974,1989,16,0.00,1974,1989,16,      1.35,       .04,34, 87.5,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1310600,1,10,110,628/48,GUIR,TAZZOUGUERT,MA,32.000,-3.750,   2370.  ,1052,0,0,1976,1989,14,0.91,1976,1989,14,1.28,1976,1989,14,       .59,       .02,8, 85.7, 98.6,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1512100,1,12,112,151,GORGOL BLANC,AGUEILLAT,MR,16.920,-12.380,   8370.  ,-999,1812100,0,1978,1985,8,12.63,1978,1985,8,12.50,1978,1985,8,      2.01,       .06,8, 87.5,100. ,13.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1812100,1,12,112,,SENEGAL,DAGANA,SN,16.520,-15.500, 268000.  ,-999,0,0,,,,,1903,1974,72,8.74,1903,1974,72,    690.8 ,     21.79,81, 84.7,100. ,28.2.1992,1992,28.2.1992,1992,-999,0,1,1,0,1,0,1,0,0
1112100,1,12,112,,SENEGAL,KAYES,ML,14.450,-11.280, 157400.  ,20,1812500,0,1981,1990,10,70.02,1951,1990,40,0.00,1951,1990,40,    475.39,     14.99,95, 97.5,100. ,29.1.1992,1992,26.6.1992,1992,-999,0,0,0,0,1,0,0,0,0
1112110,1,12,112,,KOLIMBINE,KABATE,ML,14.310,-11.130,  25000.  ,-999,1112100,0,1981,1990,10,70.87,1981,1990,10,70.83,1981,1990,10,      5.71,       .18,7, 30. , 97.2,29.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,1,0,0,0,0
1112200,1,12,112,,FALEME,GOURBASSY,ML,13.230,-11.380,  15000.  ,-999,1812600,0,1981,1990,10,71.69,1954,1990,37,0.00,1954,1990,37,    114.66,      3.62,241, 97.3,100. ,29.1.1992,1992,26.6.1992,1992,-999,0,0,0,0,1,0,1,0,0
1512200,1,12,112,151,GHORFA,GHORFA AVAL,MR,15.530,-12.700,   5050.  ,-999,1812300,0,1979,1985,7,31.21,1979,1985,7,30.95,1979,1985,7,     11.87,       .37,74, 71.4, 96.7,13.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1812300,1,12,112,,SENEGAL,MATAM,SN,15.650,-13.250, 230000.  ,-999,1812100,0,,,,,1903,1974,72,0.00,1903,1974,72,    763.71,     24.08,105, 97.2,100. ,28.2.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,1,0,0
1112300,1,12,112,,SENEGAL,GALOUGO,ML,13.830,-11.130, 127000.  ,69,1112100,0,1981,1990,10,70.02,1905,1990,86,35.02,1905,1990,86,    503.3 ,     15.87,125, 58.1,100. ,29.1.1992,1992,26.6.1992,1992,-999,0,0,0,0,1,0,1,0,0
1512300,1,12,112,1512050,NIORDE,HARR,MR,15.280,-12.550,   1550.  ,-999,1812300,0,1985,1985,1,0.27,1985,1985,1,0.00,1985,1985,1,      4.48,       .14,91,100. ,100. ,13.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1112320,1,12,112,,BAKOYE,OUALIA,ML,13.360,-9.230,  84400.  ,-999,1112300,0,1981,1990,10,70.02,1951,1990,40,29.20,1951,1990,40,    129.41,      4.08,48, 62.5, 98.7,29.1.1992,1992,26.6.1992,1992,-999,0,0,0,0,1,0,1,0,0
1112330,1,12,112,,"BAOULE (TRIB. ATUI, SENEGAL)",SIRAMAKANA,ML,13.340,-9.530,  58000.  ,-999,1112320,0,1981,1990,10,73.36,1972,1990,19,60.96,1972,1990,19,     14.31,       .45,8, 21.1,100. ,29.1.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,0,0,0
1112340,1,12,112,,BAKOYE,TOUKOTO,ML,13.450,-9.880,  16000.  ,-999,1112320,0,1987,1990,4,50.03,1952,1990,39,41.59,1952,1990,39,     69.47,      2.19,137, 46.2, 98.6,28.2.1992,1992,24.6.1992,1992,-999,0,0,0,0,1,0,1,0,0
1112350,1,12,112,,"BAFING (TRIB. ATUI, SENEGAL)",DIBIA,ML,13.140,-10.480,  33000.  ,-999,1112300,0,1981,1990,10,81.68,1951,1990,40,20.38,1951,1990,40,    320.95,     10.12,307, 62.5, 97.3,29.1.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,1,0,0
1112400,1,12,112,,FALEME,FADOUGOU,ML,12.310,-11.230,   9300.  ,-999,1112200,0,1981,1990,10,70.02,1952,1990,39,6.05,1952,1990,39,     85.85,      2.71,291, 84.6,100. ,29.1.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,0,0,0
1112480,1,12,112,,"BAFING (TRIB. ATUI, SENEGAL)",DAKA SAYDOU,ML,12.150,-10.200,  15500.  ,-999,1112500,0,1981,1990,10,71.71,1952,1990,39,27.37,1952,1990,39,    256.92,      8.1 ,523, 69.2, 97.8,29.1.1992,1992,28.2.1992,1992,-999,0,0,0,0,1,0,0,0,0
1112500,1,12,112,,"BAFING (TRIB. ATUI, SENEGAL)",BAFING MAKANA,ML,12.330,-10.160,  21700.  ,-999,1112350,0,1981,1990,10,70.18,1981,1990,10,70.00,1981,1990,10,    165.21,      5.21,240, 30. ,100. ,29.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,1,0,0,0,0
1812500,1,12,112,,SENEGAL,BAKEL,SN,14.900,-12.450, 218000.  ,11,1812300,0,1979,1989,11,50.67,1904,1989,86,18.75,1904,1989,86,    748.69,     23.61,108, 50. , 96.7,16.1.1992,1992,30.12.1993,1993,-999,0,0,0,0,1,0,1,0,0
1812600,1,12,112,,FALEME,KIDIRA,SN,14.450,-12.220,  28900.  ,20,1812500,0,1979,1989,11,50.43,1930,1989,60,21.64,1930,1989,60,    182.59,      5.76,199, 61.7,100. ,16.1.1992,1992,30.12.1993,1993,-999,0,0,0,0,1,0,1,0,0
1813180,1,13,113,,SIMA,SINTHIANG KOUNDARA,SN,13.250,-13.920,    495.  ,-999,0,0,1981,1984,4,35.29,1981,1984,4,35.00,1981,1984,4,       .01,       .  ,1, 25. ,100. ,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1813200,1,13,113,,GAMBIA,GOULOUMBOU,SN,13.470,-13.730,  42000.  ,0,0,0,1979,1989,11,51.50,1970,1994,25,12.16,1970,1994,25,    146.87,      4.63,110, 80. ,100. ,16.1.1992,1992,14.7.1998,1998,-999,0,1,0,0,1,0,1,0,0
1813250,1,13,113,,NIAOULE,NIAOULE TANOU,SN,13.480,-13.680,   1230.  ,10,1813200,0,1979,1985,7,33.35,1970,1985,16,13.33,1970,1985,16,       .16,       .01,4, 62.5,100. ,16.1.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1813300,1,13,113,,KOULOUNTOU,GUE DU P.N.N.K.,SN,12.780,-13.480,   5350.  ,-999,1813320,0,1979,1983,5,69.39,1971,1994,24,0.00,1971,1994,24,     27.37,       .86,161,100. ,100. ,16.1.1992,1992,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1813320,1,13,113,1813054,KOULOUNTOU,MISSIRAH GOUNAS,SN,13.200,-13.620,   6200.  ,2,1813200,0,,,,,1971,1995,25,1.33,1971,1995,25,     28.54,       .9 ,145, 96. ,100. ,14.7.1998,1998,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1813350,1,13,113,,SANDOUGOU,SINTHIOU MALEME,SN,13.820,-13.900,   6900.  ,-999,0,0,1981,1989,9,75.02,1981,1989,9,75.00,1981,1989,9,       .  ,-    999.  ,-999,   . ,,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1813400,1,13,113,,NIERIKO,GOUMBEYEL,SN,13.680,-13.170,   6800.  ,-999,1813450,0,1981,1983,3,0.82,1981,1983,3,0.00,1981,1983,3,       .09,       .  ,0, 33.3,100. ,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1813450,1,13,113,,GAMBIA,WASSADOU AVAL,SN,13.350,-13.380,  33500.  ,4,1813200,0,1979,1989,11,51.46,1973,1994,22,23.46,1973,1994,22,    123.26,      3.89,116, 59.1,100. ,16.1.1992,1992,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1813460,1,13,113,,GAMBIA,WASSADOU AMONT,SN,13.350,-13.370,  21200.  ,5,1813450,0,1979,1989,11,60.82,1970,1994,25,24.32,1970,1994,25,    121.35,      3.83,181, 64. ,100. ,16.1.1992,1992,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1813500,1,13,113,,GAMBIA,SIMENTI,SN,13.030,-13.300,  20500.  ,10,1813460,0,1979,1989,11,52.91,1970,1994,25,20.95,1970,1994,25,    120.39,      3.8 ,185, 64. ,100. ,16.1.1992,1992,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1813550,1,13,113,,DIARHA,PONT ROUTIER,SN,12.620,-12.770,    760.  ,47,1813500,0,1979,1985,7,34.03,1972,1985,14,15.38,1972,1985,14,      7.28,       .23,302, 57.1,100. ,16.1.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1813600,1,13,113,,NIOKOLO-KOBA,PONT ROUTIER,SN,13.070,-12.730,   3000.  ,48,1813500,0,1977,1987,11,14.90,1970,1987,18,14.22,1970,1987,18,      6.03,       .19,63, 72.2, 99.4,16.1.1992,1992,18.2.1992,1992,-999,0,0,0,0,1,0,0,0,0
1813650,1,13,113,,THIOKOYE,PONT ROUTIER,SN,12.570,-12.530,    950.  ,113,1813500,0,1977,1989,13,23.07,1971,1989,19,18.06,1971,1989,19,      9.18,       .29,305, 63.2, 98.6,16.1.1992,1992,30.12.1993,1993,-999,0,0,0,0,0,0,0,0,0
1813700,1,13,113,,GAMBIA,MAKO,SN,12.870,-12.350,  10450.  ,75,1813500,0,1979,1989,11,50.23,1970,1994,25,20.27,1970,1994,25,     87.6 ,      2.76,264, 64. ,100. ,16.1.1992,1992,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1813750,1,13,113,,SILI,PONT ROUTIER,SN,12.530,-12.270,     90.  ,-999,1813700,0,1977,1989,13,16.13,1977,1989,13,13.89,1977,1989,13,       .38,       .01,133, 61.5, 96.9,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1813780,1,13,113,,GAMBIA,KEDOUGOU,SN,12.550,-12.180,   7550.  ,102,1813700,0,1979,1989,11,50.01,1970,1994,25,12.16,1970,1994,25,     73.4 ,      2.32,307, 80. ,100. ,16.1.1992,1992,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1813800,1,13,113,,DIAGUERI,PONT ROUTIER,SN,12.630,-12.080,   1010.  ,-999,1813700,0,1977,1988,12,18.13,1977,1988,12,17.86,1977,1988,12,      6.15,       .19,192, 58.3,100. ,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1814070,1,14,114,1193401032,GEBA,SONACO,GW,12.430,-14.500,   7340.  ,4,0,0,,,,,1979,1993,15,33.89,1979,1993,15,      1.47,       .05,6, 40. , 97.2,14.7.1998,1998,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1814400,1,14,114,,GEBA,KAYANGA AVAL (PONT WASSADOU),SN,12.830,-14.130,   2870.  ,-999,1814070,0,1979,1983,5,26.43,1979,1983,5,26.67,1979,1983,5,       .21,       .01,2, 20. ,100. ,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1815020,1,15,115,1193402011,CORUBAL,SALTINHO AMONT,GW,11.560,-14.670,  23840.  ,26,0,0,,,,,1977,1994,18,0.00,1977,1994,18,    313.73,      9.89,415, 94.4, 99.5,14.7.1998,1998,14.7.1998,1998,-999,0,0,0,0,1,0,1,0,0
1815070,1,15,115,1193402020,CORUBAL,TCHE-TCHE,GW,11.930,-14.210,  21880.  ,35,1815020,0,,,,,1977,1994,18,0.00,1977,1994,18,    281.36,      8.87,406,100. , 99.1,14.7.1998,1998,14.7.1998,1998,-999,0,0,0,0,1,0,0,0,0
1615500,1,15,115,,CORUBAL,GAOUAL,GN,11.780,-13.200,   9749.  ,100,1815070,0,1978,1980,3,0.09,1978,1980,3,0.00,1978,1980,3,    174.09,      5.49,563,100. ,100. ,17.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1816100,1,16,116,,PANETIOR,BOUNGA BAMBARA,SN,14.750,-17.170,     88.5 ,-999,0,0,1982,1983,2,0.00,1982,1983,2,0.00,1982,1983,2,       .  ,-    999.  ,-999,   . ,,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1316100,1,16,116,,SANGWIN,TOURNOUTA-BAFU BAY,LR,5.300,-9.300,    761.  ,-999,0,0,,,,,1976,1978,3,8.33,1976,1978,3,    119.61,      3.77,4956,100. , 91.7,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1816200,1,16,116,,NEMA,NEMA BA,SN,13.730,-16.480,     58.  ,-999,0,0,1979,1983,5,27.09,1979,1983,5,26.09,1979,1983,5,       .  ,       .  ,2, 20. ,100. ,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1216300,1,16,116,,PAMPANA,MATOTOKA,SL,8.670,-11.870,   2407.  ,9,0,0,,,,,1976,1979,4,23.40,1976,1979,4,    124.  ,      3.91,1625, 50. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1216350,1,16,116,,SELI,BUMBUNA,SL,9.030,-11.900,   3990.  ,12,0,0,,,,,1976,1979,4,16.67,1976,1979,4,    124.33,      3.92,983, 50. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1216400,1,16,116,,SELI,BADALA,SL,9.320,-11.530,   2625.  ,19,1216350,0,,,,,1976,1977,2,21.43,1976,1977,2,       .  ,-    999.  ,-999,   . ,,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1816400,1,16,116,,CASAMANCE,KOLDA,GW,12.530,-14.560,   3700.  ,1,0,0,1979,1983,5,27.79,1967,1983,17,1.01,1967,1983,17,      1.81,       .06,15, 94.1, 99. ,16.1.1992,1992,18.2.1992,1992,-999,0,0,0,0,1,0,0,0,0
1216430,1,16,116,,BUNDOYA,PALIMA,SL,8.100,-11.320,    361.  ,14,0,0,,,,,1976,1979,4,2.17,1976,1979,4,     29.56,       .93,2582, 75. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1216450,1,16,116,,SEWA,JAIAMA SAWAFE,SL,8.570,-11.270,   6870.  ,25,0,0,,,,,1976,1979,4,19.15,1976,1979,4,    113.78,      3.59,522, 50. , 95.8,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1816450,1,16,116,,MARIGOT DE SARE KOUTAYEL,SARE KOUTAYEL,SN,12.920,-14.880,    640.  ,-999,0,0,1981,1983,3,0.55,1981,1983,3,0.00,1981,1983,3,       .01,       .  ,0, 33.3,100. ,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1816490,1,16,116,,TIANGOL DIANGUINA,SARE SARA,SN,12.830,-14.250,    815.  ,-999,1816400,0,1981,1983,3,1.10,1981,1983,3,0.00,1981,1983,3,       .02,       .  ,1, 33.3,100. ,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1816500,1,16,116,,KHORINA,MEDINA OMAR,SN,12.850,-14.730,    385.  ,-999,1816450,0,1977,1988,12,9.13,1977,1988,12,9.09,1977,1988,12,       .06,       .  ,5, 66.7,100. ,16.1.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1216500,1,16,116,,MABOA,DODO,SL,8.150,-11.150,     57.  ,27,0,0,,,,,1976,1978,3,3.45,1976,1978,3,      4.  ,       .13,2213, 66.7,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
